branch_code,city,gender,product_category,unit_price,quantity,total_price,gst,payment_method,rating,date,time,day
FAR_23,Faridabad,Female,Home Decor,,2.0,1294.08,232.93,,2.6,2024-07-16,15:46:42,
GUW_44,Guwahati,Male,Frozen Foods,,6.0,5804.46,,Mobikwik,2.2,2024-06-15,,Saturday
PAT_17,Patna,Female,Bakery,88.77,,266.31,47.94,Cash,3.8,2024-12-14,14:27:15,Saturday
MEE_24,Meerut,Male,Snacks,77.4,3.0,232.2,41.8,PhonePe,1.3,2025-03-16,22:10:38,Sunday
THA_14,Thane,Male,Pet Supplies,751.38,4.0,3005.52,540.99,Debit Card,3.0,2024-08-04,03:57:11,Sunday
SRI_29,Srinagar,Female,Frozen Foods,42.3,2.0,84.6,,Google Pay,1.4,2024-07-11,06:58:35,Thursday
SOL_46,,Male,Personal Care,463.13,4.0,1852.52,333.45,Debit Card,1.3,2025-06-17,14:42:34,Tuesday
LUD_20,Ludhiana,Male,Bakery,50.47,6.0,302.82,54.51,Mobikwik,2.2,2024-02-26,23:31:42,Monday
NOI_40,Noida,Female,Baby Products,333.42,8.0,2667.36,480.12,Debit Card,3.6,2023-12-12,06:21:42,Tuesday
JAI_08,Jaipur,Male,Snacks,567.52,4.0,2270.08,408.61,Google Pay,1.7,2024-08-23,13:15:52,Friday
RAN_35,Ranchi,Male,Bakery,883.4,8.0,7067.2,1272.1,Credit Card,5.0,2023-10-14,21:53:57,Saturday
NOI_40,Noida,Female,Fruits & Vegetables,281.37,2.0,562.74,101.29,Paytm,1.0,2024-07-06,04:45:56,Saturday
LUC_10,Lucknow,Female,Stationery,,4.0,3842.64,691.68,Mobikwik,4.9,2023-09-13,22:07:45,
VAD_18,Vadodara,Male,Electronics,215.31,7.0,1507.17,271.29,Paytm,4.3,2024-04-28,23:30:02,Sunday
PAT_17,Patna,Male,Household Items,467.54,1.0,467.54,84.16,,2.3,2024-01-12,22:29:25,Friday
THA_14,Thane,Male,Electronics,411.35,9.0,3702.15,666.39,Debit Card,2.4,,16:09:33,Tuesday
DEL_00,Delhi,Female,Personal Care,312.54,1.0,312.54,56.26,Google Pay,3.0,2024-03-09,00:35:00,Saturday
FAR_23,Faridabad,Male,Sports Equipment,172.4,1.0,172.4,31.03,PhonePe,3.0,2025-01-01,15:22:43,Wednesday
SOL_46,Solapur,Female,Bakery,238.24,2.0,476.48,85.77,Mobikwik,2.0,2025-04-03,10:03:11,Thursday
NAS_22,Nashik,Female,Home Decor,517.78,9.0,,838.8,Amazon Pay,1.1,2024-06-28,04:41:15,Friday
LUD_20,Ludhiana,Female,Electronics,457.71,3.0,1373.13,247.16,Debit Card,2.2,2024-09-10,01:35:53,Tuesday
