Unnamed: 0,branch_code,city,gender,product_category,unit_price,quantity,total_price,gst,payment_method,rating,date,time,day
0,NOI_40,Noida,Male,Baby Products,926.04,,4630.2,833.44,Amazon Pay,3.6,2024-11-07,00:09:50,Thursday
1,RAI_43,Raipur,Male,Baby Products,63.9,,447.3,80.51,Cash,2.1,2024-06-07,13:04:51,Friday
2,VIS_16,Visakhapatnam,Female,Pet Supplies,905.89,8.0,7247.12,1304.48,PhonePe,4.5,2024-08-21,07:10:08,Wednesday
3,IND_13,Indore,Male,,921.25,9.0,8291.25,1492.42,Cash,3.5,2023-11-19,04:02:59,Sunday
4,GHA_19,Ghaziabad,Female,Bakery,847.72,4.0,3390.88,610.36,Cash,2.1,2023-09-16,08:39:39,Saturday
5,AUR_30,Aurangabad,Male,Beverages,572.71,6.0,3436.26,618.53,Debit Card,3.6,,11:22:00,Sunday
6,SUR_09,Surat,Female,Snacks,900.6,1.0,900.6,162.11,Amazon Pay,1.6,2024-11-17,12:43:33,Sunday
7,SOL_46,Solapur,Female,,551.48,4.0,2205.92,,Credit Card,,2024-10-27,02:33:59,Sunday
8,CHE_03,Chennai,Female,Pet Supplies,899.03,10.0,8990.3,,Paytm,4.2,2023-12-07,22:26:58,Thursday
9,NAV_33,Navi Mumbai,Female,Personal Care,485.62,6.0,2913.72,524.47,PhonePe,5.0,2023-12-23,06:44:34,Saturday
10,VAS_27,Vasai,Female,Bakery,293.07,8.0,2344.56,,Cash,3.7,2024-07-22,08:21:14,Monday
11,RAJ_25,Rajkot,Male,Baby Products,900.83,9.0,8107.47,1459.34,Cash,1.1,2024-01-29,10:27:23,Monday
12,AGR_21,Agra,Male,Clothing,416.84,3.0,1250.52,225.09,Credit Card,3.1,2024-10-15,21:31:06,Tuesday
13,IND_13,Indore,Male,Dairy Products,563.74,8.0,4509.92,811.79,Debit Card,2.6,2023-09-06,03:17:22,Wednesday
14,NOI_40,Noida,Female,Fruits & Vegetables,50.77,4.0,203.08,36.55,Amazon Pay,1.8,2024-05-25,00:15:23,Saturday
15,JOD_41,Jodhpur,Male,Household Items,481.95,5.0,2409.75,433.75,PhonePe,1.5,2024-07-10,23:56:05,Wednesday
16,,Thane,Male,Dairy Products,37.04,8.0,296.32,53.34,,1.2,2024-11-08,18:09:06,Friday
17,IND_13,Indore,Female,,635.29,3.0,1905.87,343.06,Credit Card,1.1,2025-02-16,07:47:34,Sunday
18,NOI_40,Noida,Male,Home Decor,649.08,5.0,3245.4,584.17,Credit Card,5.0,2025-07-17,15:39:38,Thursday
19,DEL_00,Delhi,Male,Fruits & Vegetables,390.11,1.0,390.11,70.22,Google Pay,2.4,2023-09-14,08:19:15,Thursday
20,,Srinagar,Female,Bakery,891.1,2.0,1782.2,320.8,Amazon Pay,3.4,2024-09-29,19:27:47,Sunday
21,VAR_28,Varanasi,Female,Electronics,687.78,,4126.68,742.8,Debit Card,1.3,2024-08-04,21:21:41,Sunday
22,VAR_28,,Female,Dairy Products,540.87,10.0,5408.7,973.57,Google Pay,4.4,2023-09-10,09:09:02,Sunday
23,CHE_03,Chennai,Male,Home Decor,210.38,8.0,1683.04,302.95,Debit Card,1.9,2025-05-20,19:12:11,Tuesday
24,AHM_06,Ahmedabad,Male,Stationery,928.9,6.0,5573.4,,Credit Card,4.7,2024-03-07,23:53:18,Thursday
25,IND_13,Indore,Female,Frozen Foods,957.41,9.0,8616.69,1551.0,Amazon Pay,2.3,2025-03-05,09:22:47,Wednesday
26,JAI_08,Jaipur,Female,Personal Care,464.1,8.0,3712.8,668.3,PhonePe,3.7,2024-11-11,15:29:01,Monday
27,CHA_45,Chandigarh,Female,Household Items,89.52,7.0,626.64,112.8,Credit Card,4.5,2024-05-25,20:35:08,
28,SRI_29,Srinagar,Female,Personal Care,150.3,3.0,450.9,81.16,Google Pay,4.8,,,Thursday
29,VAD_18,Vadodara,Female,Beverages,534.71,3.0,1604.13,288.74,Mobikwik,,2024-08-21,08:49:45,Wednesday
30,KOL_02,Kolkata,Female,Fruits & Vegetables,402.97,,805.94,145.07,Amazon Pay,3.8,2023-11-18,,Saturday
31,VIS_16,Visakhapatnam,Female,Home Decor,302.05,3.0,,163.11,,3.1,2024-09-08,08:24:31,Sunday
32,RAJ_25,Rajkot,,Beverages,125.58,8.0,1004.64,180.84,Debit Card,4.8,2025-06-11,06:06:26,Wednesday
33,RAN_35,,Male,Household Items,87.35,5.0,436.75,78.61,PhonePe,4.9,2024-03-14,10:38:39,Thursday
34,MEE_24,Meerut,Male,Beverages,183.45,2.0,366.9,66.04,Debit Card,2.1,2025-06-22,14:25:28,Sunday
35,VIS_16,Visakhapatnam,Female,,381.24,2.0,762.48,137.25,Cash,3.7,2024-02-09,,Friday
36,MUM_01,Mumbai,Female,Pet Supplies,31.95,3.0,95.85,17.25,Credit Card,,2024-08-08,12:51:57,Thursday
37,KOL_02,Kolkata,Female,Health & Wellness,936.04,5.0,4680.2,842.44,Credit Card,1.7,2024-06-22,06:18:27,Saturday
38,BAN_04,Bangalore,Male,Household Items,878.76,9.0,7908.84,1423.59,Mobikwik,1.1,2023-09-05,05:31:56,Tuesday
39,DEL_00,,Female,Frozen Foods,440.71,5.0,2203.55,396.64,Cash,2.1,2025-03-04,20:06:55,Tuesday
40,NAV_33,Navi Mumbai,Male,Household Items,630.67,1.0,630.67,113.52,Debit Card,4.9,2023-10-19,14:18:36,Thursday
41,DHA_31,Dhanbad,Male,Health & Wellness,604.0,4.0,2416.0,434.88,,3.9,2024-07-09,23:43:49,Tuesday
42,PUN_07,Pune,Female,Beverages,21.58,2.0,43.16,7.77,Google Pay,3.5,2023-09-19,02:54:28,Tuesday
43,AUR_30,Aurangabad,Male,Home Decor,476.12,1.0,,85.7,Paytm,1.1,2025-03-24,23:33:30,Monday
44,HYD_05,Hyderabad,Female,,87.47,4.0,349.88,62.98,,1.2,2023-08-20,10:44:11,Sunday
45,ALL_34,Allahabad,Male,Sports Equipment,157.54,6.0,945.24,170.14,Paytm,3.9,2025-04-19,,Saturday
46,MUM_01,,Female,Electronics,125.68,4.0,502.72,90.49,Amazon Pay,4.3,2024-04-13,16:31:57,Saturday
47,DEL_00,Delhi,Female,Household Items,625.06,9.0,5625.54,1012.6,PhonePe,1.7,2025-01-02,04:51:02,Thursday
48,NAV_33,Navi Mumbai,Male,Bakery,532.97,9.0,4796.73,,Credit Card,4.0,2024-03-12,16:31:51,Tuesday
49,JAI_08,Jaipur,Male,Fruits & Vegetables,,5.0,1162.5,209.25,Debit Card,2.6,2024-09-02,22:48:48,Monday
50,,Visakhapatnam,Male,Home Decor,781.09,6.0,4686.54,843.58,Cash,2.8,2025-05-22,00:12:31,
51,ALL_34,Allahabad,Male,Beverages,477.56,7.0,3342.92,601.73,Paytm,2.8,2025-05-13,19:55:59,Tuesday
52,KAN_11,Kanpur,Female,Beverages,942.94,8.0,7543.52,1357.83,PhonePe,2.0,2025-03-21,12:26:40,Friday
53,NOI_40,Noida,,Household Items,589.2,1.0,589.2,106.06,Cash,2.0,2023-10-07,11:55:36,Saturday
54,MAD_42,Madurai,Male,Bakery,87.73,,614.11,110.54,Amazon Pay,4.0,2025-02-14,13:49:04,Friday
55,JOD_41,Jodhpur,Female,,217.05,7.0,1519.35,273.48,Debit Card,1.8,2024-06-04,00:18:20,Tuesday
56,SUR_09,Surat,Female,Pet Supplies,506.63,2.0,1013.26,182.39,PhonePe,3.8,2025-05-27,16:33:00,Tuesday
57,LUC_10,Lucknow,Female,Beverages,884.92,9.0,7964.28,1433.57,Mobikwik,4.9,2024-04-02,15:04:42,
58,AGR_21,Agra,Female,Baby Products,458.4,5.0,2292.0,412.56,Debit Card,2.0,2024-06-24,16:21:17,Monday
59,NAG_12,Nagpur,Female,Frozen Foods,899.28,6.0,5395.68,971.22,Debit Card,4.7,2024-08-31,20:39:35,Saturday
60,CHA_45,Chandigarh,Female,Beverages,695.58,1.0,695.58,125.2,,2.4,2024-05-21,15:07:35,Tuesday
61,ALL_34,Allahabad,Female,Pet Supplies,644.88,5.0,3224.4,580.39,Paytm,4.5,2023-12-20,10:49:11,Wednesday
62,BAN_04,Bangalore,Female,Baby Products,,9.0,1976.04,355.69,Amazon Pay,4.5,2024-05-06,02:17:19,Monday
63,SOL_46,Solapur,Female,Home Decor,377.9,1.0,377.9,68.02,,4.4,2024-10-25,07:54:56,Friday
64,JAB_38,,Female,Electronics,586.3,8.0,4690.4,844.27,Credit Card,1.5,2024-10-03,15:19:17,Thursday
65,VIS_16,Visakhapatnam,Male,Beverages,,10.0,1739.9,313.18,Credit Card,3.1,,01:17:35,Sunday
66,JOD_41,Jodhpur,Male,Clothing,295.64,3.0,886.92,159.65,Debit Card,4.8,2025-04-01,03:53:37,Tuesday
67,RAN_35,Ranchi,Male,Clothing,273.16,2.0,546.32,98.34,,4.5,2025-05-31,15:36:50,Saturday
68,MAD_42,Madurai,Male,Household Items,976.44,4.0,3905.76,703.04,Google Pay,1.6,2024-12-19,15:12:57,Thursday
69,JOD_41,Jodhpur,Female,Sports Equipment,969.92,1.0,969.92,174.59,Amazon Pay,,2025-03-17,23:31:59,Monday
70,,Srinagar,Male,Snacks,187.17,1.0,187.17,33.69,Amazon Pay,3.4,2023-11-13,19:17:32,Monday
71,AMR_32,Amritsar,Female,Personal Care,201.93,1.0,201.93,36.35,Debit Card,4.2,2025-07-10,01:48:23,Thursday
72,AUR_30,Aurangabad,Male,Home Decor,674.55,1.0,674.55,121.42,Google Pay,3.9,2024-10-09,04:35:35,Wednesday
73,IND_13,,Female,Dairy Products,243.59,8.0,1948.72,350.77,Cash,3.2,2025-01-22,07:21:05,Wednesday
74,VAR_28,Varanasi,Male,Frozen Foods,74.93,1.0,74.93,13.49,Paytm,,2024-11-24,16:43:25,Sunday
75,BAN_04,Bangalore,Male,Personal Care,156.85,4.0,627.4,112.93,Mobikwik,,2024-04-14,22:58:42,
76,NAS_22,Nashik,Female,Fruits & Vegetables,590.43,1.0,590.43,106.28,Debit Card,3.4,2023-08-02,17:47:05,Wednesday
77,RAI_43,Raipur,Male,Bakery,699.52,1.0,699.52,125.91,PhonePe,1.7,,11:36:50,Sunday
78,HUB_47,Hubli–Dharwad,Male,Fruits & Vegetables,777.74,6.0,4666.44,839.96,Credit Card,1.6,2024-04-21,07:00:45,Sunday
79,FAR_23,Faridabad,Female,Personal Care,244.01,3.0,,131.77,Google Pay,3.1,2025-05-30,14:05:05,Friday
80,VIS_16,Visakhapatnam,Male,Clothing,724.46,2.0,1448.92,260.81,Cash,2.1,2024-11-22,,Friday
81,RAN_35,Ranchi,Female,Home Decor,98.47,8.0,787.76,141.8,Google Pay,1.9,2024-03-22,04:31:59,Friday
82,GHA_19,Ghaziabad,Male,,457.39,7.0,3201.73,576.31,PhonePe,4.3,2024-01-19,16:55:36,Friday
83,AHM_06,Ahmedabad,Female,,53.87,2.0,107.74,19.39,PhonePe,2.3,2024-05-16,19:09:59,Thursday
84,FAR_23,Faridabad,Female,Stationery,487.82,1.0,487.82,,Credit Card,4.5,2023-08-18,02:11:43,Friday
85,LUC_10,Lucknow,Female,Health & Wellness,281.64,,,152.09,Debit Card,2.6,2024-08-17,15:29:58,Saturday
86,VIS_16,Visakhapatnam,Male,Snacks,528.81,4.0,2115.24,380.74,PhonePe,4.6,2024-08-31,21:15:04,Saturday
87,CHA_45,Chandigarh,Female,Beverages,694.23,5.0,3471.15,624.81,Amazon Pay,3.0,2025-05-31,07:01:45,Saturday
88,RAN_35,Ranchi,Male,Sports Equipment,766.49,6.0,4598.94,827.81,Mobikwik,3.9,2024-07-27,19:21:36,Saturday
89,BHO_15,Bhopal,Female,Pet Supplies,52.6,1.0,52.6,9.47,PhonePe,3.8,2025-01-23,00:56:18,Thursday
90,VAR_28,Varanasi,Male,Home Decor,720.77,6.0,4324.62,778.43,Google Pay,3.2,2024-02-24,01:40:02,Saturday
91,NAV_33,Navi Mumbai,Female,Stationery,339.15,2.0,678.3,122.09,Cash,4.7,2023-09-16,08:18:52,Saturday
92,CHA_45,Chandigarh,Male,Pet Supplies,914.22,9.0,8227.98,1481.04,Google Pay,4.6,2025-07-06,,Sunday
93,,Kanpur,Female,Health & Wellness,734.82,6.0,4408.92,793.61,Paytm,2.8,2024-04-30,14:21:46,Tuesday
94,DEL_00,Delhi,Female,Clothing,962.89,6.0,5777.34,1039.92,Debit Card,4.3,2023-08-24,23:52:56,Thursday
95,KOL_02,Kolkata,Female,Snacks,651.08,3.0,1953.24,351.58,Paytm,2.7,2024-05-05,16:52:57,Sunday
96,DHA_31,Dhanbad,Male,Health & Wellness,937.94,8.0,7503.52,1350.63,Credit Card,1.4,2025-06-06,23:37:30,Friday
97,AGR_21,Agra,Female,Beverages,197.3,10.0,1973.0,355.14,Mobikwik,5.0,2023-12-11,21:20:00,Monday
98,NAS_22,Nashik,Male,Clothing,625.13,1.0,625.13,112.52,Credit Card,1.2,2025-07-01,07:52:58,Tuesday
99,,Madurai,Male,Household Items,216.81,4.0,867.24,156.1,Debit Card,1.3,2023-08-29,,Tuesday
100,NAG_12,Nagpur,Male,Household Items,763.89,7.0,5347.23,,Paytm,,2024-11-04,09:02:23,Monday
101,KAL_26,Kalyan,Male,Fruits & Vegetables,250.11,6.0,1500.66,,Paytm,3.2,2024-03-24,16:00:41,Sunday
102,,Mumbai,Female,Snacks,902.57,6.0,5415.42,974.78,Paytm,2.3,2024-12-17,05:17:03,Tuesday
103,MEE_24,Meerut,Female,Baby Products,853.18,8.0,6825.44,1228.58,Mobikwik,1.1,2023-08-02,00:20:01,Wednesday
104,NAG_12,Nagpur,Female,Dairy Products,969.53,8.0,7756.24,1396.12,Cash,3.0,2024-01-11,19:34:24,Thursday
105,HUB_47,Hubli–Dharwad,Male,Health & Wellness,474.95,8.0,3799.6,683.93,Google Pay,2.3,2024-11-13,11:25:28,Wednesday
106,LUC_10,Lucknow,Male,Clothing,833.17,,6665.36,1199.76,Debit Card,2.6,2024-08-23,12:05:05,Friday
107,RAJ_25,Rajkot,Male,Dairy Products,710.73,6.0,4264.38,767.59,Mobikwik,1.2,2024-11-22,08:49:16,Friday
108,SRI_29,Srinagar,Male,Beverages,974.81,5.0,4874.05,877.33,Cash,3.3,2024-05-05,,Sunday
109,MEE_24,Meerut,Female,Home Decor,751.23,2.0,1502.46,270.44,Credit Card,4.7,2024-08-01,14:16:53,Thursday
110,PUN_07,Pune,Female,Snacks,382.62,,1147.86,206.61,Paytm,4.3,2024-08-17,20:18:50,Saturday
111,AUR_30,,Female,Clothing,53.31,5.0,266.55,47.98,Google Pay,1.6,2023-07-27,06:22:02,Thursday
112,HYD_05,Hyderabad,Female,Pet Supplies,680.44,10.0,6804.4,1224.79,Google Pay,4.0,2025-04-24,06:33:21,Thursday
113,NAV_33,Navi Mumbai,Male,Sports Equipment,,10.0,7739.2,1393.06,Amazon Pay,1.2,2024-09-17,15:34:55,Tuesday
114,NOI_40,Noida,Male,,331.9,10.0,3319.0,597.42,Credit Card,3.3,2024-04-21,04:33:17,Sunday
115,AGR_21,Agra,Female,Snacks,485.69,9.0,4371.21,,Cash,3.2,2023-10-15,04:29:11,Sunday
116,LUD_20,Ludhiana,Male,Snacks,346.72,2.0,693.44,124.82,Cash,4.5,2025-01-19,12:29:37,Sunday
117,RAI_43,Raipur,,Household Items,658.67,2.0,1317.34,237.12,Credit Card,4.9,2023-10-19,08:14:29,
118,CHA_45,Chandigarh,Male,Pet Supplies,605.95,2.0,1211.9,218.14,Amazon Pay,2.0,2024-05-12,23:48:46,Sunday
119,DHA_31,Dhanbad,Male,Dairy Products,429.8,5.0,2149.0,386.82,Paytm,3.5,2024-10-02,05:22:21,Wednesday
120,RAJ_25,Rajkot,Male,Frozen Foods,454.61,1.0,454.61,81.83,Credit Card,4.9,,00:25:02,Sunday
121,,Surat,Male,Electronics,623.31,6.0,3739.86,673.17,,1.8,2024-07-29,23:41:13,Monday
122,KOL_02,Kolkata,Male,Home Decor,833.57,4.0,3334.28,600.17,Debit Card,4.5,2023-12-15,16:21:39,
123,PUN_07,Pune,Female,Fruits & Vegetables,677.53,9.0,6097.77,1097.6,Paytm,3.9,2025-03-09,00:26:05,Sunday
124,CHE_03,Chennai,Female,Dairy Products,4140.72,70.0,1725.3,310.55,Mobikwik,4.5,2023-10-28,12:31:15,Saturday
125,HOW_36,Howrah,Male,Household Items,275.47,9.0,2479.23,446.26,Mobikwik,2.4,2023-11-17,16:03:41,Friday
126,GHA_19,Ghaziabad,Male,Snacks,328.48,3.0,985.44,177.38,Cash,2.3,2025-07-19,12:35:08,Saturday
127,GWA_39,Gwalior,Male,Pet Supplies,664.74,5.0,3323.7,,Amazon Pay,4.1,2025-04-03,04:55:00,Thursday
128,KAN_11,Kanpur,Male,Snacks,503.75,8.0,4030.0,725.4,Cash,1.7,2024-06-01,15:07:12,Saturday
129,GUW_44,Guwahati,,Fruits & Vegetables,801.96,4.0,3207.84,577.41,Debit Card,4.3,2024-09-17,12:41:22,Tuesday
130,SOL_46,Solapur,Female,Household Items,4827.4800000000005,70.0,2011.45,362.06,Amazon Pay,1.1,2024-12-25,01:16:27,Wednesday
131,,Lucknow,Male,Stationery,3394.08,126.0,2545.56,458.2,Paytm,3.3,2024-08-12,17:09:11,Monday
132,NAG_12,Nagpur,Female,Dairy Products,22.56,4.0,90.24,16.24,PhonePe,3.1,2024-03-07,09:13:31,Thursday
133,AMR_32,Amritsar,Male,Stationery,103.12,1.0,103.12,18.56,Mobikwik,4.2,2025-01-14,03:37:44,Tuesday
134,GHA_19,Ghaziabad,Female,Bakery,334.29,10.0,3342.9,601.72,Mobikwik,1.2,2024-01-07,04:41:23,
135,HYD_05,Hyderabad,Male,Home Decor,547.22,6.0,3283.32,591.0,PhonePe,2.8,2025-01-24,07:22:08,Friday
136,HYD_05,Hyderabad,Male,Home Decor,846.75,6.0,5080.5,914.49,Mobikwik,2.7,2024-04-27,23:55:24,Saturday
137,HYD_05,Hyderabad,Male,Frozen Foods,950.21,3.0,2850.63,513.11,PhonePe,3.1,2023-07-29,15:44:16,Saturday
138,PAT_17,Patna,Female,Clothing,150.29,9.0,1352.61,243.47,,3.9,2024-02-06,12:12:40,Tuesday
139,THA_14,Thane,,Home Decor,340.52,10.0,3405.2,612.94,Amazon Pay,3.6,2024-04-08,,Monday
140,HOW_36,Howrah,Female,Sports Equipment,807.83,7.0,5654.81,1017.87,Debit Card,4.5,2024-07-08,13:32:48,Monday
141,BHO_15,Bhopal,,Snacks,10881.84,42.0,2720.46,489.68,Amazon Pay,4.2,2024-09-12,13:58:41,Thursday
142,,Indore,Female,Pet Supplies,83.61,8.0,668.88,120.4,PhonePe,4.4,2023-09-05,20:55:20,Tuesday
143,GUW_44,Guwahati,Female,Health & Wellness,267.8,8.0,2142.4,385.63,Google Pay,1.0,2024-06-16,12:06:57,Sunday
144,COI_37,Coimbatore,Female,Electronics,483.71,2.0,967.42,174.14,Cash,4.1,2023-12-29,08:52:24,Friday
145,JAB_38,Jabalpur,Female,Household Items,62.91,4.0,251.64,45.3,PhonePe,1.6,2024-01-16,01:08:58,Tuesday
146,MUM_01,Mumbai,Female,Clothing,676.62,3.0,2029.86,365.37,Google Pay,4.6,2025-06-14,00:05:30,Saturday
147,VIS_16,Visakhapatnam,Female,Bakery,432.51,7.0,3027.57,544.96,Cash,3.8,2025-03-20,01:39:19,Thursday
148,DEL_00,Delhi,Female,Snacks,338.93,10.0,3389.3,610.07,Google Pay,1.7,2024-07-30,00:16:20,Tuesday
149,VAR_28,Varanasi,Female,Snacks,835.67,10.0,8356.7,1504.21,Amazon Pay,2.6,2023-10-01,04:53:41,Sunday
150,HOW_36,Howrah,Male,Baby Products,167.44,7.0,,210.97,Mobikwik,2.9,2025-07-10,08:21:13,Thursday
151,SUR_09,Surat,Male,Baby Products,85.34,1.0,85.34,15.36,Paytm,2.3,2024-06-04,23:00:37,Tuesday
152,THA_14,Thane,Female,Stationery,270.59,1.0,270.59,48.71,Paytm,1.4,,07:04:40,Thursday
153,AHM_06,Ahmedabad,Female,Pet Supplies,43.58,1.0,,7.84,Cash,4.4,2024-09-02,13:00:19,Monday
154,PAT_17,Patna,Female,Frozen Foods,285.79,5.0,1428.95,257.21,Debit Card,3.0,2025-04-14,16:16:58,Monday
155,HYD_05,Hyderabad,Female,Baby Products,840.96,4.0,3363.84,605.49,Cash,1.7,2023-09-10,23:35:47,Sunday
156,NAG_12,Nagpur,Male,Frozen Foods,903.09,1.0,903.09,162.56,Amazon Pay,4.0,2023-11-07,15:19:38,Tuesday
157,JOD_41,Jodhpur,Female,Health & Wellness,326.24,5.0,1631.2,293.62,Google Pay,3.2,2025-01-08,06:43:19,Wednesday
158,COI_37,Coimbatore,Female,Dairy Products,646.97,7.0,4528.79,815.18,Debit Card,3.6,2024-10-15,13:14:13,Tuesday
159,GWA_39,Gwalior,,Beverages,259.47,10.0,2594.7,467.05,Credit Card,4.0,2023-08-17,02:50:05,Thursday
160,CHA_45,Chandigarh,Female,Home Decor,705.31,4.0,2821.24,507.82,Debit Card,1.0,2025-01-11,18:08:31,Saturday
161,SRI_29,Srinagar,,Stationery,234.12,5.0,1170.6,210.71,Amazon Pay,3.8,2024-06-24,20:16:56,Monday
162,JAI_08,Jaipur,Male,Stationery,593.8,10.0,5938.0,1068.84,PhonePe,4.2,2023-12-13,23:26:20,Wednesday
163,KAL_26,Kalyan,Male,Fruits & Vegetables,315.23,8.0,2521.84,453.93,Paytm,3.0,2024-07-04,,Thursday
164,MAD_42,Madurai,Male,Health & Wellness,962.9,5.0,4814.5,866.61,Mobikwik,3.7,2025-04-07,15:57:25,Monday
165,CHE_03,Chennai,Male,Bakery,702.34,8.0,5618.72,1011.37,Cash,4.8,2025-04-26,,Saturday
166,RAN_35,Ranchi,Female,,294.66,2.0,589.32,106.08,Debit Card,2.6,2025-05-25,08:45:37,Sunday
167,KAL_26,Kalyan,Female,Health & Wellness,125.95,8.0,1007.6,181.37,Cash,,,03:24:58,Thursday
168,COI_37,Coimbatore,Female,Sports Equipment,63.47,8.0,507.76,91.4,,1.5,2024-04-09,11:09:06,Tuesday
169,NAG_12,Nagpur,Male,Fruits & Vegetables,557.86,4.0,2231.44,401.66,Debit Card,3.7,2024-06-26,13:40:34,Wednesday
170,CHA_45,,Male,Dairy Products,186.7,3.0,560.1,100.82,Mobikwik,4.8,2023-12-20,20:59:14,Wednesday
171,GWA_39,Gwalior,Male,Sports Equipment,618.16,3.0,,333.81,,3.7,,21:09:44,Saturday
172,NAV_33,Navi Mumbai,Male,Frozen Foods,89.33,4.0,357.32,64.32,Mobikwik,1.5,2024-06-20,23:10:18,Thursday
