location,size_sqft,bedrooms,bathrooms,floors,age_years,garage,price
Downtown,1200,2,1,1,15,0,4500000
Downtown,1800,3,2,2,10,1,6800000
Downtown,2200,4,3,2,5,1,9200000
Downtown,950,1,1,1,20,0,3800000
Downtown,3000,5,4,3,3,2,13500000
Downtown,1500,3,2,1,12,1,5900000
Downtown,1100,2,1,1,18,0,4200000
Downtown,2500,4,3,2,7,1,10800000
Downtown,1700,3,2,2,8,1,6500000
Downtown,800,1,1,1,25,0,3200000
Suburbs,1400,3,2,1,10,1,3800000
Suburbs,2000,4,2,2,8,1,5200000
Suburbs,2800,5,3,2,5,2,7500000
Suburbs,1100,2,1,1,15,0,2900000
Suburbs,3200,5,4,3,2,2,9100000
Suburbs,1600,3,2,1,12,1,4100000
Suburbs,900,2,1,1,20,0,2400000
Suburbs,2400,4,3,2,6,1,6500000
Suburbs,1800,3,2,2,9,1,4800000
Suburbs,1300,2,2,1,11,0,3500000
Suburbs,2100,4,2,2,7,1,5600000
Suburbs,1500,3,1,1,14,1,3900000
Suburbs,2600,4,3,2,4,2,7000000
Suburbs,1000,2,1,1,18,0,2600000
Suburbs,3500,6,4,3,1,2,10200000
Midtown,1600,3,2,2,8,0,5800000
Midtown,2200,4,3,2,5,1,8100000
Midtown,1000,2,1,1,18,0,3600000
Midtown,2800,5,3,3,3,1,11000000
Midtown,1400,2,2,1,12,0,5100000
Midtown,1900,3,2,2,7,1,7000000
Midtown,1200,2,1,1,16,0,4300000
Midtown,3000,5,4,3,2,2,12500000
Midtown,1700,3,2,2,9,1,6200000
Midtown,850,1,1,1,22,0,3100000
Midtown,2500,4,3,2,6,1,9400000
Midtown,1300,2,2,1,14,0,4700000
Midtown,2000,4,2,2,8,1,7500000
Midtown,1100,2,1,1,20,0,4000000
Midtown,3200,5,4,3,1,2,13800000
Old City,1000,2,1,1,30,0,2800000
Old City,1600,3,2,1,25,0,4200000
Old City,2000,4,2,2,20,1,5800000
Old City,800,1,1,1,35,0,2200000
Old City,2500,4,3,2,15,1,7200000
Old City,1200,2,1,1,28,0,3300000
Old City,900,2,1,1,32,0,2500000
Old City,1800,3,2,1,22,0,4900000
Old City,1400,3,2,1,26,0,3800000
Old City,700,1,1,1,40,0,1900000
Old City,2200,4,3,2,18,1,6100000
Old City,1100,2,1,1,29,0,3000000
Old City,2800,5,3,2,12,1,8000000
Old City,1500,3,2,1,24,0,4100000
Old City,600,1,1,1,45,0,1600000
IT Hub,1800,3,2,2,5,1,7200000
IT Hub,2400,4,3,2,3,1,9800000
IT Hub,1200,2,2,1,8,0,4900000
IT Hub,3000,5,4,3,2,2,13000000
IT Hub,1600,3,2,2,6,1,6400000
IT Hub,2000,4,2,2,4,1,8200000
IT Hub,1000,2,1,1,10,0,4100000
IT Hub,2800,5,3,3,1,2,11800000
IT Hub,1400,2,2,1,7,0,5700000
IT Hub,3500,6,4,3,1,2,15200000
IT Hub,1900,3,3,2,5,1,7700000
IT Hub,900,1,1,1,12,0,3700000
IT Hub,2200,4,3,2,4,1,9100000
IT Hub,1700,3,2,2,6,1,6900000
IT Hub,2600,4,3,2,3,1,10700000
Green Valley,1500,3,2,1,8,1,4200000
Green Valley,2200,4,3,2,5,1,6100000
Green Valley,1000,2,1,1,12,0,2800000
Green Valley,2800,5,3,2,4,2,8200000
Green Valley,1300,2,2,1,10,1,3600000
Green Valley,1900,3,2,2,6,1,5300000
Green Valley,800,1,1,1,15,0,2200000
Green Valley,3200,5,4,3,2,2,9500000
Green Valley,1600,3,2,1,9,1,4500000
Green Valley,2500,4,3,2,5,1,7000000
Green Valley,1100,2,1,1,14,0,3100000
Green Valley,2000,4,2,2,7,1,5600000
Green Valley,1400,3,1,1,11,1,3900000
Green Valley,3000,5,4,3,1,2,9000000
Green Valley,900,2,1,1,13,0,2500000
University Area,1100,2,1,1,12,0,3400000
University Area,1700,3,2,1,8,0,5200000
University Area,2100,4,2,2,6,1,6500000
University Area,900,1,1,1,15,0,2800000
University Area,2500,4,3,2,5,1,7800000
University Area,1300,2,2,1,10,0,4100000
University Area,800,1,1,1,18,0,2500000
University Area,2000,3,2,2,7,1,6200000
University Area,1500,3,2,1,9,0,4700000
University Area,1200,2,1,1,13,0,3700000
University Area,2800,5,3,2,4,1,8900000
University Area,1000,2,1,1,16,0,3100000
University Area,1600,3,2,1,11,1,5000000
University Area,2200,4,3,2,6,1,6900000
University Area,3000,5,4,3,2,2,9700000
