Hours_Studied,Attendance,Assignments_Submitted,Previous_Score,Final_Result
6,61,0,88,1
3,50,4,48,0
7,87,3,78,1
4,55,1,65,0
6,72,0,41,0
9,48,3,70,1
2,99,4,48,1
6,98,3,41,1
7,45,0,38,0
4,55,5,36,1
3,68,5,57,1
7,42,3,43,1
7,59,2,60,1
2,99,3,81,1
5,98,1,48,1
4,75,1,87,1
1,58,5,76,1
7,65,2,45,1
5,42,0,82,0
1,58,1,34,0
4,59,5,64,1
0,71,4,41,0
9,46,5,54,1
5,91,1,81,1
8,80,1,88,1
0,72,5,50,0
9,79,0,65,1
2,78,3,82,1
6,57,1,52,0
3,79,5,45,1
8,40,5,86,1
2,50,2,68,0
4,67,3,74,1
2,96,4,82,1
6,64,0,71,1
4,89,4,87,1
8,62,3,68,1
6,70,3,43,1
1,69,3,60,0
3,81,4,87,1
8,74,3,34,1
1,46,5,64,0
9,99,4,52,1
8,55,3,58,1
9,65,5,72,1
4,87,2,40,0
1,96,3,47,0
3,91,4,76,1
6,99,1,41,1
7,88,3,38,1
2,41,1,39,0
0,40,5,87,0
3,87,2,73,1
1,51,0,46,0
7,44,2,67,1
3,76,3,36,0
1,71,1,75,0
5,98,1,42,1
5,94,4,69,1
9,48,1,71,1
3,80,4,38,0
5,74,5,79,1
1,58,0,56,0
9,87,3,87,1
1,55,4,31,0
9,42,0,34,0
3,59,1,58,0
7,63,1,66,1
6,93,0,67,1
8,95,1,48,1
7,72,5,37,1
4,63,5,77,1
1,91,0,74,0
4,50,4,30,0
7,88,4,51,1
9,47,0,81,1
8,75,4,46,1
8,77,4,36,1
0,79,5,54,0
8,59,4,74,1
6,74,2,33,1
8,87,3,65,1
7,64,1,35,0
0,74,2,89,0
7,64,4,60,1
7,68,5,48,1
2,57,0,73,0
0,85,4,83,1
7,57,5,68,1
2,41,3,56,0
2,93,4,39,0
0,74,0,55,0
4,55,5,48,1
9,80,5,68,1
6,75,5,32,1
9,72,3,74,1
8,43,4,42,1
6,72,3,79,1
8,53,1,57,1
7,60,1,87,1
1,87,4,49,0
0,59,3,57,0
6,95,0,37,0
6,47,5,70,1
7,46,5,68,1
4,42,4,30,0
2,56,1,32,0
7,72,1,42,1
5,87,5,57,1
2,51,4,86,1
0,98,3,89,1
2,90,1,78,0
4,61,3,54,0
2,94,1,85,1
0,61,1,62,0
4,85,2,67,1
9,69,1,82,1
6,77,0,35,0
6,77,4,87,1
8,84,4,73,1
9,90,3,74,1
9,93,1,61,1
2,47,0,74,0
6,66,3,76,1
0,66,2,50,0
3,73,3,45,0
3,60,3,83,1
4,69,1,50,0
6,72,2,40,1
6,67,3,89,1
3,86,0,66,0
6,72,0,65,1
2,44,4,64,0
5,99,2,48,1
1,87,2,49,0
9,58,4,86,1
8,43,3,47,1
4,74,2,76,1
5,88,0,70,1
3,56,0,78,0
9,83,1,43,1
6,67,2,44,1
8,69,3,60,1
6,68,4,30,1
0,85,4,82,1
0,92,3,83,1
8,45,5,83,1
8,74,1,32,1
3,99,4,45,1
8,80,2,52,1
2,76,1,86,0
6,63,2,40,0
5,68,0,41,0
7,88,1,39,1
8,85,4,61,1
4,92,1,45,0
0,70,1,37,0
2,74,1,67,0
9,99,5,41,1
7,72,1,53,1
5,91,2,57,1
7,60,0,82,1
8,71,3,37,1
3,62,1,87,0
0,72,4,57,0
0,42,1,65,0
9,57,4,55,1
3,64,2,37,0
6,81,4,87,1
1,70,3,89,1
2,93,0,79,0
0,97,4,57,0
4,42,4,57,1
0,79,0,66,0
7,85,3,70,1
0,63,1,65,0
0,89,4,56,0
1,71,0,83,0
1,86,2,46,0
5,61,0,38,0
6,62,2,62,1
4,41,3,82,1
0,66,1,49,0
0,81,0,42,0
2,41,5,57,0
1,65,4,77,1
4,56,3,58,0
9,79,0,42,1
5,72,4,75,1
6,48,0,64,0
3,82,2,35,0
6,93,0,47,1
7,87,5,80,1
0,78,0,34,0
5,68,0,76,1
7,81,5,54,1
4,94,3,31,1
3,65,0,39,0
1,74,5,85,1
5,89,4,59,1
